year,state,Apache,Blackfoot,Cherokee,Cheyenne,Chickasaw,Chippewa,Choctaw,Comanche,Creek,Crow,Iroquois,Kiowa,Lumbee,Navajo,Osage,Paiute,Pima,Potawatomi,Pueblo,Seminole,Shoshone,Sioux,Tohono O'Odham,Alaska Native--Alaskan Athabaskan,Alaska Native--Aleut,Alaska Native--Eskimo,Alaska Native--Tlingit,American Indian and Alaska Native--All other tribes,American Indian and Alaska Native--Tribe not specified,Native Hawaiian and Other Pacific Islander--Polynesian,Native Hawaiian and Other Pacific Islander--Polynesian--Hawaiian,Native Hawaiian and Other Pacific Islander--Polynesian--Samoan,Native Hawaiian and Other Pacific Islander--Polynesian--Tongan,Native Hawaiian and Other Pacific Islander--Polynesian--Other Polynesian,Native Hawaiian and Other Pacific Islander--Micronesian,Native Hawaiian and Other Pacific Islander--Micronesian--Guamanian,Native Hawaiian and Other Pacific Islander--Micronesian--Other Micronesian,Native Hawaiian and Other Pacific Islander--Melanesian,Native Hawaiian and Other Pacific Islander--Melanesian--Fijian,Native Hawaiian and Other Pacific Islander--Melanesian--Other Melanesian,Native Hawaiian and Other Pacific Islander--Other
2000,Alaska,116,151,962,29,421,394,277,25,87,36,134,20,47,212,30,27,21,39,111,54,30,282,12,11910,8282,41481,9153,3295,18275,2671,695,1670,251,55,286,227,59,3,3,0,215
2000,Arizona,23404,293,3036,161,277,856,1254,176,411,107,544,171,77,125881,96,341,6438,265,10233,104,175,1777,15393,88,94,218,138,23202,37060,3992,1985,1197,696,114,1739,1354,385,52,47,5,810
2000,Arkansas,202,146,7619,75,205,158,1926,75,387,6,140,52,39,117,115,12,6,133,51,68,22,205,15,41,20,40,28,1131,4260,481,295,176,1,9,959,231,728,2,2,0,212
2000,California,9907,2945,27131,609,1651,3503,7540,1113,2082,294,2201,394,480,8034,835,3243,999,1355,4341,756,1074,5588,1143,315,527,656,751,106940,128531,71656,20571,37498,12111,1476,22898,20918,1980,7676,7631,45,12259
2000,Colorado,2141,430,4103,328,231,894,845,190,273,88,447,123,64,4784,177,78,46,326,950,127,139,3018,70,77,89,137,107,7679,14885,2586,1435,931,149,71,1376,1124,252,32,26,6,546
2000,Connecticut,65,156,620,11,19,99,47,19,28,1,242,5,21,53,3,6,2,17,46,24,5,124,5,12,9,11,17,3759,4063,663,365,277,5,16,311,281,30,17,13,4,371
2000,Delaware,21,32,342,3,14,31,24,1,7,1,60,3,32,25,2,2,6,9,5,5,1,22,0,1,0,3,1,1043,997,83,41,35,3,4,92,89,3,0,0,0,107
2000,District Of Columbia,10,41,172,3,9,17,15,3,7,1,25,5,13,20,3,0,2,9,14,4,1,20,2,0,3,2,4,304,964,194,138,51,1,4,70,62,8,9,2,7,72
2000,Florida,743,825,10166,111,192,1207,904,143,3837,64,1524,51,728,388,103,58,14,201,234,1933,67,922,21,89,80,137,108,8074,19385,3737,2131,1232,203,171,2691,2319,372,73,62,11,2020
2000,Georgia,296,235,5620,41,73,335,427,51,1007,19,315,17,389,196,54,14,9,86,113,145,18,357,29,39,36,66,30,2930,8316,1738,866,819,10,43,1777,1566,211,35,31,4,653
2000,Hawaii,134,71,494,13,19,72,69,20,49,10,70,8,23,136,16,9,10,16,67,27,13,101,8,25,25,39,37,601,1241,100884,80137,16166,3993,588,8155,1663,6492,240,214,26,872
2000,Idaho,163,219,1146,84,47,409,249,29,57,44,104,9,11,578,33,102,26,62,73,29,394,499,14,36,63,63,96,9504,3177,797,391,249,114,43,322,254,68,14,14,0,145
2000,Illinois,509,405,3903,67,67,1352,510,99,164,39,675,54,86,403,40,21,32,220,156,80,25,849,33,28,40,80,34,5571,14905,2117,1003,1062,18,34,1082,988,94,34,29,5,1352
2000,Indiana,300,371,3268,49,55,474,238,52,107,20,253,17,88,206,54,20,18,323,76,41,12,515,9,32,26,30,15,3120,5581,1046,606,385,28,27,517,470,47,13,7,6,403
2000,Iowa,121,106,786,45,16,354,106,29,65,20,74,41,18,79,19,12,14,47,34,11,11,1334,6,11,16,35,18,2695,2631,448,270,150,12,16,369,170,199,9,1,8,162
2000,Kansas,412,195,5860,200,223,298,1004,190,603,47,398,246,40,617,318,42,20,2109,143,189,38,853,22,29,33,56,48,4319,5571,665,391,255,13,6,452,325,127,10,5,5,163
2000,Kentucky,157,158,3095,34,42,164,183,36,85,22,120,9,70,107,21,7,10,26,45,27,6,227,9,16,15,23,17,728,2919,696,338,327,12,19,474,403,71,8,6,2,266
2000,Louisiana,191,122,2814,27,125,153,1490,52,344,11,105,34,35,111,63,14,7,56,76,46,16,180,8,28,20,19,21,9124,8496,643,373,253,4,13,383,342,41,10,7,3,191
2000,Maine,59,58,238,8,3,69,23,3,14,2,94,3,10,37,3,2,0,16,7,9,4,51,1,3,12,16,6,4659,1605,211,90,109,2,10,82,70,12,2,1,1,85
2000,Maryland,171,319,2612,31,55,185,204,44,95,22,350,20,922,161,40,6,11,42,100,72,16,257,9,18,9,28,24,3058,6286,947,583,321,13,30,784,708,76,38,23,15,507
2000,Massachusetts,119,299,936,9,23,156,73,13,53,9,492,14,29,138,12,10,17,22,85,35,19,200,7,15,24,46,22,4900,6968,1087,562,476,26,23,568,529,39,22,13,9,794
2000,Michigan,504,677,4926,69,90,21618,301,68,131,23,1530,23,592,271,31,16,42,2262,119,88,38,590,8,51,37,94,59,7137,15781,1295,734,505,37,19,760,622,138,17,11,6,588
2000,Minnesota,139,135,643,59,24,32184,190,29,75,33,266,35,31,140,14,19,25,124,85,32,35,5278,9,46,36,94,56,2535,12198,1175,593,508,38,36,312,266,46,27,11,16,451
2000,Mississippi,85,69,1152,13,77,88,6440,18,172,4,35,7,29,59,18,3,8,24,28,40,14,111,2,13,9,15,13,580,2383,358,197,157,2,2,241,213,28,2,1,1,56
2000,Missouri,400,421,9068,101,225,455,900,104,349,51,610,84,77,305,242,22,13,346,115,142,57,803,29,44,38,64,54,2636,6495,1784,594,1116,28,46,921,435,486,42,39,3,357
2000,Montana,150,10105,566,4466,27,2665,108,31,35,6944,62,28,8,405,22,39,20,96,63,13,85,5003,14,45,38,81,67,17665,6139,303,217,72,6,8,92,73,19,10,10,0,58
2000,Nebraska,93,67,543,47,36,191,108,29,74,7,51,20,20,178,7,4,6,73,41,16,7,3993,1,22,7,39,11,5921,3038,359,244,111,2,2,331,273,58,4,4,0,134
2000,Nevada,508,267,1815,66,103,396,385,58,129,41,204,55,27,1402,50,3963,70,134,326,46,1711,604,44,74,59,82,84,6083,6777,5806,3471,1474,728,133,1562,1346,216,81,78,3,772
2000,New Hampshire,33,108,263,9,8,68,32,9,9,4,171,4,26,48,1,2,2,7,20,13,1,97,0,11,11,20,7,883,1009,182,117,63,0,2,103,83,20,2,1,1,84
2000,New Jersey,109,245,1381,29,30,144,70,26,66,9,404,2,92,102,10,19,8,23,176,78,20,200,8,24,24,21,22,5099,10813,1228,634,563,7,24,830,779,51,16,15,1,1239
2000,New Mexico,6694,151,1451,138,185,393,650,219,177,82,223,149,28,102286,104,50,104,122,37271,77,101,994,111,54,34,75,48,3157,16379,829,498,290,15,26,399,363,36,8,4,4,244
2000,New York,354,678,3375,74,69,475,189,64,118,30,17654,22,162,252,43,14,21,57,469,137,25,571,56,66,43,93,46,15124,41413,3222,1684,1475,23,40,2062,1931,131,90,76,14,3404
2000,North Carolina,273,287,13002,48,89,394,296,73,260,25,1412,29,44545,314,50,10,20,79,95,106,38,524,10,36,52,60,37,8531,28147,1818,932,823,35,28,1547,1313,234,14,11,3,548
2000,North Dakota,31,62,90,51,13,13345,29,8,11,89,21,3,10,51,2,9,3,15,28,2,17,8563,5,3,6,13,3,3941,4716,105,52,52,1,0,86,30,56,0,0,0,36
